temperature,humidity,rainfall,soil_moisture,ndvi,ndwi,pest_reports,disease_reports,crop_stress,historical_yield,disease_risk,pest_risk,water_stress,yield_index
33.479120971119265,58.5270985838834,21.464947997784563,63.815762034155476,0.22251655787349012,0.5804978813094048,11,9,0.7860643052769538,42.302477062506114,63.0105425000512,74.2245520951424,42.14176536147199,34.5431916515697
34.4552322654166,58.821922923776526,5.680968044619422,53.82093509110844,0.199139287200215,0.46210493759406573,4,8,0.7580877400853738,55.2079801834025,73.86392670438494,55.249118749758104,50.05320403534893,30.61905919348712
27.334420074540684,32.84724477616987,3.857237301688696,62.81342672697183,0.7234668600490193,0.574007785947368,6,4,0.3704597060348689,61.76468124272105,29.3398817582604,31.66526522719803,33.979376033823605,56.43542639212785
31.396279893650206,58.4148747267015,20.816954901445936,64.01855714015744,0.39052231386417163,0.46580784111616086,6,10,0.38747837903017446,51.43470192402391,60.635183143000916,48.99890086455517,40.85912297910881,47.74089911177177
33.73848755004277,73.21530567848208,17.629134465658378,69.65103217153775,0.5033651471645217,0.254992956762315,0,1,0.11453007353597344,73.09896882205689,44.43105310256921,25.279146043262635,40.37817560796614,60.85620759349347
29.071588013159918,66.34846544845189,7.598752451565305,17.15724841975576,0.48627238970891906,-0.02833226174437664,4,5,0.8534030732681661,48.33455069432442,54.98959929047005,50.63376742598898,69.72609802893997,32.15054524921639
29.140643046825566,80.95338359191688,16.607838508184688,43.44708030080494,0.7767956961928467,-0.06642166407383687,5,0,0.09004786077564175,76.17448298399766,36.32906102950832,33.47744628384958,53.73592611412215,64.69089519870909
31.92640750155472,59.00015791231199,9.525530652412062,36.105846240351354,0.6353175967015441,0.08945008844271235,15,1,0.11800590212051532,89.82816687932232,30.025277362733476,53.03471619524097,59.30791660615887,62.9291004134802
33.575018079315896,76.59786229533472,11.234037553594717,34.05690932916113,0.22422104085819444,0.5220819172350735,2,5,0.20236336479523032,52.439527576587196,57.982168444702616,42.005943464131406,50.08010783679794,35.766604522401586
32.38925911901873,58.08604758538174,15.68272101756108,55.88685782389149,0.6503818831972115,-0.13244454308808873,12,5,0.04161417386189248,63.15747669693758,36.510679516400344,53.634275018694694,60.517503568836915,54.343383404055196
21.411859370737723,90.13280769449182,14.526528492509874,39.28088631743859,0.6050049284406909,-0.18175690317624202,2,12,0.48230343694290023,79.61590795326632,77.64723964449836,42.91473820711838,63.035701579280456,51.42294649204338
29.434561047521505,60.776811068702,6.67439157729734,38.20982981397866,0.5509177499030841,0.15112916824403738,4,0,0.8262919241943578,86.0811639948667,45.864170070189445,39.436575669404306,48.97267354919825,40.846165010562466
